parameter_alpha,pair_id,permute_id,seed,A_size,B_size,as_sketch_size_A,as_sketch_size_B,mgh_sketch_size_A,mgh_sketch_size_B,true_jaccard,jaccard_as,jaccard_mgh
0.4,0,0,42,100000,100000,173,45,375,367,0.5,0.6206896551724138,0.49257425742574257
0.4,0,1,42,100000,100000,230,155,375,367,0.5,0.529126213592233,0.49257425742574257
0.4,0,2,42,100000,100000,76,61,375,367,0.5,0.5921052631578947,0.49257425742574257
0.4,0,3,42,100000,100000,391,84,375,367,0.5,0.5700934579439252,0.49257425742574257
0.4,0,4,42,100000,100000,25,124,375,367,0.5,0.6785714285714286,0.49257425742574257
0.4,0,5,42,100000,100000,61,129,375,367,0.5,0.5945945945945946,0.49257425742574257
0.4,0,6,42,100000,100000,204,92,375,367,0.5,0.5462184873949579,0.49257425742574257
0.4,0,7,42,100000,100000,71,176,375,367,0.5,0.5714285714285714,0.49257425742574257
0.4,0,8,42,100000,100000,47,121,375,367,0.5,0.6071428571428571,0.49257425742574257
0.4,0,9,42,100000,100000,42,116,375,367,0.5,0.625,0.49257425742574257
0.4,0,10,42,100000,100000,60,244,375,367,0.5,0.5972222222222222,0.49257425742574257
0.4,0,11,42,100000,100000,204,304,375,367,0.5,0.5234375,0.49257425742574257
0.4,0,12,42,100000,100000,289,80,375,367,0.5,0.5686274509803921,0.49257425742574257
0.4,0,13,42,100000,100000,220,45,375,367,0.5,0.6206896551724138,0.49257425742574257
0.4,0,14,42,100000,100000,255,111,375,367,0.5,0.5136986301369864,0.49257425742574257
0.4,0,15,42,100000,100000,213,99,375,367,0.5,0.5230769230769231,0.49257425742574257
0.4,0,16,42,100000,100000,281,83,375,367,0.5,0.5660377358490566,0.49257425742574257
0.4,0,17,42,100000,100000,242,276,375,367,0.5,0.5239616613418531,0.49257425742574257
0.4,0,18,42,100000,100000,825,235,375,367,0.5,0.5239616613418531,0.49257425742574257
0.4,0,19,42,100000,100000,65,96,375,367,0.5,0.5853658536585366,0.49257425742574257
0.4,0,20,42,100000,100000,152,70,375,367,0.5,0.5747126436781609,0.49257425742574257
0.4,0,21,42,100000,100000,220,120,375,367,0.5,0.535483870967742,0.49257425742574257
0.4,0,22,42,100000,100000,561,143,375,367,0.5,0.5263157894736842,0.49257425742574257
0.4,0,23,42,100000,100000,100,263,375,367,0.5,0.5267175572519084,0.49257425742574257
0.4,0,24,42,100000,100000,251,106,375,367,0.5,0.5259259259259259,0.49257425742574257
0.4,0,25,42,100000,100000,339,290,375,367,0.5,0.5186170212765957,0.49257425742574257
0.4,0,26,42,100000,100000,303,273,375,367,0.5,0.5210084033613446,0.49257425742574257
0.4,0,27,42,100000,100000,44,62,375,367,0.5,0.64,0.49257425742574257
0.4,0,28,42,100000,100000,109,234,375,367,0.5,0.5138888888888888,0.49257425742574257
0.4,0,29,42,100000,100000,234,212,375,367,0.5,0.5229681978798587,0.49257425742574257
0.4,0,30,42,100000,100000,330,118,375,367,0.5,0.5359477124183006,0.49257425742574257
0.4,0,31,42,100000,100000,142,46,375,367,0.5,0.6271186440677966,0.49257425742574257
0.4,0,32,42,100000,100000,63,166,375,367,0.5,0.5822784810126582,0.49257425742574257
0.4,0,33,42,100000,100000,150,137,375,367,0.5,0.5245901639344263,0.49257425742574257
0.4,0,34,42,100000,100000,43,248,375,367,0.5,0.6326530612244898,0.49257425742574257
0.4,0,35,42,100000,100000,136,126,375,367,0.5,0.5301204819277109,0.49257425742574257
0.4,0,36,42,100000,100000,356,42,375,367,0.5,0.6,0.49257425742574257
0.4,0,37,42,100000,100000,140,194,375,367,0.5,0.5222222222222223,0.49257425742574257
0.4,0,38,42,100000,100000,63,99,375,367,0.5,0.5822784810126582,0.49257425742574257
0.4,0,39,42,100000,100000,176,368,375,367,0.5,0.5244444444444445,0.49257425742574257
0.4,0,40,42,100000,100000,104,180,375,367,0.5,0.5259259259259259,0.49257425742574257
0.4,0,41,42,100000,100000,144,240,375,367,0.5,0.5268817204301075,0.49257425742574257
0.4,0,42,42,100000,100000,132,154,375,367,0.5,0.5321637426900585,0.49257425742574257
0.4,0,43,42,100000,100000,45,250,375,367,0.5,0.64,0.49257425742574257
0.4,0,44,42,100000,100000,349,110,375,367,0.5,0.5138888888888888,0.49257425742574257
0.4,0,45,42,100000,100000,220,61,375,367,0.5,0.5921052631578947,0.49257425742574257
0.4,0,46,42,100000,100000,124,65,375,367,0.5,0.5853658536585366,0.49257425742574257
0.4,0,47,42,100000,100000,247,101,375,367,0.5,0.5267175572519084,0.49257425742574257
0.4,0,48,42,100000,100000,154,132,375,367,0.5,0.5257142857142857,0.49257425742574257
0.4,0,49,42,100000,100000,159,45,375,367,0.5,0.6206896551724138,0.49257425742574257
0.4,0,50,42,100000,100000,122,65,375,367,0.5,0.5853658536585366,0.49257425742574257
0.4,0,51,42,100000,100000,112,67,375,367,0.5,0.5853658536585366,0.49257425742574257
0.4,0,52,42,100000,100000,311,121,375,367,0.5,0.535031847133758,0.49257425742574257
0.4,0,53,42,100000,100000,269,36,375,367,0.5,0.625,0.49257425742574257
0.4,0,54,42,100000,100000,58,265,375,367,0.5,0.5942028985507246,0.49257425742574257
0.4,0,55,42,100000,100000,172,60,375,367,0.5,0.5921052631578947,0.49257425742574257
0.4,0,56,42,100000,100000,86,168,375,367,0.5,0.5700934579439252,0.49257425742574257
0.4,0,57,42,100000,100000,268,168,375,367,0.5,0.5244444444444445,0.49257425742574257
0.4,0,58,42,100000,100000,391,150,375,367,0.5,0.5353535353535354,0.49257425742574257
0.4,0,59,42,100000,100000,293,262,375,367,0.5,0.518840579710145,0.49257425742574257
0.4,0,60,42,100000,100000,168,23,375,367,0.5,0.6896551724137931,0.49257425742574257
0.4,0,61,42,100000,100000,165,109,375,367,0.5,0.5104895104895105,0.49257425742574257
0.4,0,62,42,100000,100000,74,162,375,367,0.5,0.5684210526315789,0.49257425742574257
0.4,0,63,42,100000,100000,263,348,375,367,0.5,0.5172413793103449,0.49257425742574257
0.4,0,64,42,100000,100000,158,110,375,367,0.5,0.5138888888888888,0.49257425742574257
0.4,0,65,42,100000,100000,319,168,375,367,0.5,0.5244444444444445,0.49257425742574257
0.4,0,66,42,100000,100000,210,67,375,367,0.5,0.5853658536585366,0.49257425742574257
0.4,0,67,42,100000,100000,105,42,375,367,0.5,0.6,0.49257425742574257
0.4,0,68,42,100000,100000,142,138,375,367,0.5,0.5245901639344263,0.49257425742574257
0.4,0,69,42,100000,100000,154,204,375,367,0.5,0.5357142857142857,0.49257425742574257
0.4,0,70,42,100000,100000,74,240,375,367,0.5,0.5684210526315789,0.49257425742574257
0.4,0,71,42,100000,100000,96,187,375,367,0.5,0.536,0.49257425742574257
0.4,0,72,42,100000,100000,184,83,375,367,0.5,0.5660377358490566,0.49257425742574257
0.4,0,73,42,100000,100000,301,184,375,367,0.5,0.524,0.49257425742574257
0.4,0,74,42,100000,100000,73,42,375,367,0.5,0.6,0.49257425742574257
0.4,0,75,42,100000,100000,109,199,375,367,0.5,0.5138888888888888,0.49257425742574257
0.4,0,76,42,100000,100000,136,50,375,367,0.5,0.609375,0.49257425742574257
0.4,0,77,42,100000,100000,126,42,375,367,0.5,0.6,0.49257425742574257
0.4,0,78,42,100000,100000,124,259,375,367,0.5,0.5341614906832298,0.49257425742574257
0.4,0,79,42,100000,100000,210,34,375,367,0.5,0.6666666666666666,0.49257425742574257
0.4,0,80,42,100000,100000,34,248,375,367,0.5,0.6666666666666666,0.49257425742574257
0.4,0,81,42,100000,100000,182,109,375,367,0.5,0.5104895104895105,0.49257425742574257
0.4,0,82,42,100000,100000,240,126,375,367,0.5,0.5301204819277109,0.49257425742574257
0.4,0,83,42,100000,100000,344,328,375,367,0.5,0.5294117647058824,0.49257425742574257
0.4,0,84,42,100000,100000,74,89,375,367,0.5,0.5684210526315789,0.49257425742574257
0.4,0,85,42,100000,100000,312,69,375,367,0.5,0.5747126436781609,0.49257425742574257
0.4,0,86,42,100000,100000,197,165,375,367,0.5,0.5246636771300448,0.49257425742574257
0.4,0,87,42,100000,100000,156,157,375,367,0.5,0.5353535353535354,0.49257425742574257
0.4,0,88,42,100000,100000,86,69,375,367,0.5,0.5747126436781609,0.49257425742574257
0.4,0,89,42,100000,100000,329,299,375,367,0.5,0.517948717948718,0.49257425742574257
0.4,0,90,42,100000,100000,76,99,375,367,0.5,0.5684210526315789,0.49257425742574257
0.4,0,91,42,100000,100000,224,291,375,367,0.5,0.5173611111111112,0.49257425742574257
0.4,0,92,42,100000,100000,85,29,375,367,0.5,0.6857142857142857,0.49257425742574257
0.4,0,93,42,100000,100000,102,103,375,367,0.5,0.5263157894736842,0.49257425742574257
0.4,0,94,42,100000,100000,61,159,375,367,0.5,0.5945945945945946,0.49257425742574257
0.4,0,95,42,100000,100000,242,34,375,367,0.5,0.6666666666666666,0.49257425742574257
0.4,0,96,42,100000,100000,113,350,375,367,0.5,0.5234899328859061,0.49257425742574257
0.4,0,97,42,100000,100000,134,133,375,367,0.5,0.5321637426900585,0.49257425742574257
0.4,0,98,42,100000,100000,76,294,375,367,0.5,0.5684210526315789,0.49257425742574257
0.4,0,99,42,100000,100000,297,50,375,367,0.5,0.609375,0.49257425742574257
0.4,1,0,42,100000,100000,351,289,354,369,0.5,0.4896907216494845,0.48872180451127817
0.4,1,1,42,100000,100000,82,96,354,369,0.5,0.453781512605042,0.48872180451127817
0.4,1,2,42,100000,100000,329,232,354,369,0.5,0.48534201954397393,0.48872180451127817
0.4,1,3,42,100000,100000,74,185,354,369,0.5,0.4351851851851852,0.48872180451127817
0.4,1,4,42,100000,100000,131,103,354,369,0.5,0.45454545454545453,0.48872180451127817
0.4,1,5,42,100000,100000,193,104,354,369,0.5,0.45864661654135336,0.48872180451127817
0.4,1,6,42,100000,100000,165,151,354,369,0.5,0.4690721649484536,0.48872180451127817
0.4,1,7,42,100000,100000,380,371,354,369,0.5,0.48316831683168315,0.48872180451127817
0.4,1,8,42,100000,100000,186,95,354,369,0.5,0.45528455284552843,0.48872180451127817
0.4,1,9,42,100000,100000,57,141,354,369,0.5,0.4875,0.48872180451127817
0.4,1,10,42,100000,100000,402,132,354,369,0.5,0.46551724137931033,0.48872180451127817
0.4,1,11,42,100000,100000,97,98,354,369,0.5,0.4523809523809524,0.48872180451127817
0.4,1,12,42,100000,100000,240,166,354,369,0.5,0.47685185185185186,0.48872180451127817
0.4,1,13,42,100000,100000,362,133,354,369,0.5,0.46551724137931033,0.48872180451127817
0.4,1,14,42,100000,100000,252,155,354,369,0.5,0.47738693467336685,0.48872180451127817
0.4,1,15,42,100000,100000,276,317,354,369,0.5,0.48509485094850946,0.48872180451127817
0.4,1,16,42,100000,100000,121,268,354,369,0.5,0.47023809523809523,0.48872180451127817
0.4,1,17,42,100000,100000,90,116,354,369,0.5,0.45864661654135336,0.48872180451127817
0.4,1,18,42,100000,100000,136,140,354,369,0.5,0.4673913043478261,0.48872180451127817
0.4,1,19,42,100000,100000,161,164,354,369,0.5,0.4786729857819905,0.48872180451127817
0.4,1,20,42,100000,100000,332,220,354,369,0.5,0.4895833333333333,0.48872180451127817
0.4,1,21,42,100000,100000,418,192,354,369,0.5,0.4819277108433735,0.48872180451127817
0.4,1,22,42,100000,100000,202,151,354,369,0.5,0.4690721649484536,0.48872180451127817
0.4,1,23,42,100000,100000,235,186,354,369,0.5,0.48333333333333334,0.48872180451127817
0.4,1,24,42,100000,100000,71,119,354,369,0.5,0.43137254901960786,0.48872180451127817
0.4,1,25,42,100000,100000,170,81,354,369,0.5,0.4351851851851852,0.48872180451127817
0.4,1,26,42,100000,100000,69,193,354,369,0.5,0.45263157894736844,0.48872180451127817
0.4,1,27,42,100000,100000,62,59,354,369,0.5,0.4864864864864865,0.48872180451127817
0.4,1,28,42,100000,100000,229,140,354,369,0.5,0.4673913043478261,0.48872180451127817
0.4,1,29,42,100000,100000,69,149,354,369,0.5,0.45263157894736844,0.48872180451127817
0.4,1,30,42,100000,100000,182,366,354,369,0.5,0.4823529411764706,0.48872180451127817
0.4,1,31,42,100000,100000,141,156,354,369,0.5,0.47738693467336685,0.48872180451127817
0.4,1,32,42,100000,100000,310,80,354,369,0.5,0.42990654205607476,0.48872180451127817
0.4,1,33,42,100000,100000,125,80,354,369,0.5,0.42990654205607476,0.48872180451127817
0.4,1,34,42,100000,100000,95,81,354,369,0.5,0.4351851851851852,0.48872180451127817
0.4,1,35,42,100000,100000,75,245,354,369,0.5,0.43636363636363634,0.48872180451127817
0.4,1,36,42,100000,100000,66,250,354,369,0.5,0.5,0.48872180451127817
0.4,1,37,42,100000,100000,195,30,354,369,0.5,0.5384615384615384,0.48872180451127817
0.4,1,38,42,100000,100000,240,197,354,369,0.5,0.4823529411764706,0.48872180451127817
0.4,1,39,42,100000,100000,96,129,354,369,0.5,0.460431654676259,0.48872180451127817
0.4,1,40,42,100000,100000,101,255,354,369,0.5,0.46206896551724136,0.48872180451127817
0.4,1,41,42,100000,100000,296,163,354,369,0.5,0.47619047619047616,0.48872180451127817
0.4,1,42,42,100000,100000,346,206,354,369,0.5,0.48698884758364314,0.48872180451127817
0.4,1,43,42,100000,100000,119,84,354,369,0.5,0.43636363636363634,0.48872180451127817
0.4,1,44,42,100000,100000,40,269,354,369,0.5,0.5272727272727272,0.48872180451127817
0.4,1,45,42,100000,100000,249,301,354,369,0.5,0.4954954954954955,0.48872180451127817
0.4,1,46,42,100000,100000,253,134,354,369,0.5,0.46551724137931033,0.48872180451127817
0.4,1,47,42,100000,100000,131,195,354,369,0.5,0.46774193548387094,0.48872180451127817
0.4,1,48,42,100000,100000,90,134,354,369,0.5,0.45864661654135336,0.48872180451127817
0.4,1,49,42,100000,100000,286,115,354,369,0.5,0.46258503401360546,0.48872180451127817
0.4,1,50,42,100000,100000,297,312,354,369,0.5,0.4847715736040609,0.48872180451127817
0.4,1,51,42,100000,100000,96,321,354,369,0.5,0.460431654676259,0.48872180451127817
0.4,1,52,42,100000,100000,72,50,354,369,0.5,0.515625,0.48872180451127817
0.4,1,53,42,100000,100000,87,159,354,369,0.5,0.453125,0.48872180451127817
0.4,1,54,42,100000,100000,50,182,354,369,0.5,0.4927536231884058,0.48872180451127817
0.4,1,55,42,100000,100000,65,173,354,369,0.5,0.5,0.48872180451127817
0.4,1,56,42,100000,100000,129,14,354,369,0.5,0.4444444444444444,0.48872180451127817
0.4,1,57,42,100000,100000,178,130,354,369,0.5,0.4624277456647399,0.48872180451127817
0.4,1,58,42,100000,100000,54,124,354,369,0.5,0.4864864864864865,0.48872180451127817
0.4,1,59,42,100000,100000,200,137,354,369,0.5,0.46408839779005523,0.48872180451127817
0.4,1,60,42,100000,100000,161,282,354,369,0.5,0.4778761061946903,0.48872180451127817
0.4,1,61,42,100000,100000,279,131,354,369,0.5,0.46551724137931033,0.48872180451127817
0.4,1,62,42,100000,100000,368,183,354,369,0.5,0.48936170212765956,0.48872180451127817
0.4,1,63,42,100000,100000,159,67,354,369,0.5,0.5,0.48872180451127817
0.4,1,64,42,100000,100000,172,107,354,369,0.5,0.45652173913043476,0.48872180451127817
0.4,1,65,42,100000,100000,151,139,354,369,0.5,0.4644808743169399,0.48872180451127817
0.4,1,66,42,100000,100000,165,131,354,369,0.5,0.46551724137931033,0.48872180451127817
0.4,1,67,42,100000,100000,358,167,354,369,0.5,0.4792626728110599,0.48872180451127817
0.4,1,68,42,100000,100000,219,150,354,369,0.5,0.4690721649484536,0.48872180451127817
0.4,1,69,42,100000,100000,161,207,354,369,0.5,0.4778761061946903,0.48872180451127817
0.4,1,70,42,100000,100000,77,43,354,369,0.5,0.5185185185185185,0.48872180451127817
0.4,1,71,42,100000,100000,360,105,354,369,0.5,0.4626865671641791,0.48872180451127817
0.4,1,72,42,100000,100000,195,256,354,369,0.5,0.4888888888888889,0.48872180451127817
0.4,1,73,42,100000,100000,157,69,354,369,0.5,0.5,0.48872180451127817
0.4,1,74,42,100000,100000,57,279,354,369,0.5,0.4875,0.48872180451127817
0.4,1,75,42,100000,100000,75,216,354,369,0.5,0.43636363636363634,0.48872180451127817
0.4,1,76,42,100000,100000,371,114,354,369,0.5,0.46258503401360546,0.48872180451127817
0.4,1,77,42,100000,100000,217,240,354,369,0.5,0.4831081081081081,0.48872180451127817
0.4,1,78,42,100000,100000,122,112,354,369,0.5,0.46206896551724136,0.48872180451127817
0.4,1,79,42,100000,100000,125,161,354,369,0.5,0.4606741573033708,0.48872180451127817
0.4,1,80,42,100000,100000,83,244,354,369,0.5,0.45454545454545453,0.48872180451127817
0.4,1,81,42,100000,100000,458,22,354,369,0.5,0.48148148148148145,0.48872180451127817
0.4,1,82,42,100000,100000,275,218,354,369,0.5,0.49122807017543857,0.48872180451127817
0.4,1,83,42,100000,100000,82,95,354,369,0.5,0.453781512605042,0.48872180451127817
0.4,1,84,42,100000,100000,185,94,354,369,0.5,0.45454545454545453,0.48872180451127817
0.4,1,85,42,100000,100000,331,10,354,369,0.5,0.46153846153846156,0.48872180451127817
0.4,1,86,42,100000,100000,149,222,354,369,0.5,0.4811320754716981,0.48872180451127817
0.4,1,87,42,100000,100000,83,228,354,369,0.5,0.45454545454545453,0.48872180451127817
0.4,1,88,42,100000,100000,219,49,354,369,0.5,0.5079365079365079,0.48872180451127817
0.4,1,89,42,100000,100000,111,160,354,369,0.5,0.4620253164556962,0.48872180451127817
0.4,1,90,42,100000,100000,229,417,354,369,0.5,0.48717948717948717,0.48872180451127817
0.4,1,91,42,100000,100000,185,395,354,369,0.5,0.4864864864864865,0.48872180451127817
0.4,1,92,42,100000,100000,16,121,354,369,0.5,0.4782608695652174,0.48872180451127817
0.4,1,93,42,100000,100000,119,171,354,369,0.5,0.47023809523809523,0.48872180451127817
0.4,1,94,42,100000,100000,92,344,354,369,0.5,0.4626865671641791,0.48872180451127817
0.4,1,95,42,100000,100000,400,71,354,369,0.5,0.45263157894736844,0.48872180451127817
0.4,1,96,42,100000,100000,109,266,354,369,0.5,0.4551282051282051,0.48872180451127817
0.4,1,97,42,100000,100000,104,119,354,369,0.5,0.46258503401360546,0.48872180451127817
0.4,1,98,42,100000,100000,235,85,354,369,0.5,0.4336283185840708,0.48872180451127817
0.4,1,99,42,100000,100000,174,383,354,369,0.5,0.48148148148148145,0.48872180451127817
0.4,2,0,42,100000,100000,162,161,363,365,0.5,0.39737991266375544,0.42610837438423643
0.4,2,1,42,100000,100000,267,324,363,365,0.5,0.43478260869565216,0.42610837438423643
0.4,2,2,42,100000,100000,313,122,363,365,0.5,0.38285714285714284,0.42610837438423643
0.4,2,3,42,100000,100000,98,82,363,365,0.5,0.41964285714285715,0.42610837438423643
0.4,2,4,42,100000,100000,38,196,363,365,0.5,0.37037037037037035,0.42610837438423643
0.4,2,5,42,100000,100000,251,268,363,365,0.5,0.43352601156069365,0.42610837438423643
0.4,2,6,42,100000,100000,81,36,363,365,0.5,0.3877551020408163,0.42610837438423643
0.4,2,7,42,100000,100000,61,6,363,365,0.5,0.4444444444444444,0.42610837438423643
0.4,2,8,42,100000,100000,91,71,363,365,0.5,0.43434343434343436,0.42610837438423643
0.4,2,9,42,100000,100000,396,270,363,365,0.5,0.42782152230971127,0.42610837438423643
0.4,2,10,42,100000,100000,170,289,363,365,0.5,0.411522633744856,0.42610837438423643
0.4,2,11,42,100000,100000,174,62,363,365,0.5,0.4090909090909091,0.42610837438423643
0.4,2,12,42,100000,100000,243,416,363,365,0.5,0.4332344213649852,0.42610837438423643
0.4,2,13,42,100000,100000,88,199,363,365,0.5,0.38461538461538464,0.42610837438423643
0.4,2,14,42,100000,100000,199,10,363,365,0.5,0.42857142857142855,0.42610837438423643
0.4,2,15,42,100000,100000,125,388,363,365,0.5,0.39444444444444443,0.42610837438423643
0.4,2,16,42,100000,100000,310,363,363,365,0.5,0.4309133489461358,0.42610837438423643
0.4,2,17,42,100000,100000,216,224,363,365,0.5,0.42333333333333334,0.42610837438423643
0.4,2,18,42,100000,100000,289,317,363,365,0.5,0.43358395989974935,0.42610837438423643
0.4,2,19,42,100000,100000,144,279,363,365,0.5,0.3951219512195122,0.42610837438423643
0.4,2,20,42,100000,100000,106,397,363,365,0.5,0.38064516129032255,0.42610837438423643
0.4,2,21,42,100000,100000,175,67,363,365,0.5,0.42105263157894735,0.42610837438423643
0.4,2,22,42,100000,100000,111,259,363,365,0.5,0.3803680981595092,0.42610837438423643
0.4,2,23,42,100000,100000,90,206,363,365,0.5,0.37777777777777777,0.42610837438423643
0.4,2,24,42,100000,100000,157,192,363,365,0.5,0.3991031390134529,0.42610837438423643
0.4,2,25,42,100000,100000,256,174,363,365,0.5,0.411522633744856,0.42610837438423643
0.4,2,26,42,100000,100000,341,92,363,365,0.5,0.38461538461538464,0.42610837438423643
0.4,2,27,42,100000,100000,98,147,363,365,0.5,0.3971631205673759,0.42610837438423643
0.4,2,28,42,100000,100000,313,113,363,365,0.5,0.37888198757763975,0.42610837438423643
0.4,2,29,42,100000,100000,470,194,363,365,0.5,0.41911764705882354,0.42610837438423643
0.4,2,30,42,100000,100000,100,29,363,365,0.5,0.36363636363636365,0.42610837438423643
0.4,2,31,42,100000,100000,124,235,363,365,0.5,0.39444444444444443,0.42610837438423643
0.4,2,32,42,100000,100000,159,251,363,365,0.5,0.39737991266375544,0.42610837438423643
