parameter_alpha,pair_id,seed,A_size,B_size,as_sketch_size_A,as_sketch_size_B,mgh_sketch_size_A,mgh_sketch_size_B,true_jaccard,jaccard_as,jaccard_mgh
0.4,0,0,100000,100000,369,99,381,366,0.5,0.46099290780141844,0.4963325183374083
0.4,0,1,100000,100000,202,214,388,371,0.5,0.4827586206896552,0.5188679245283019
0.4,0,2,100000,100000,111,189,385,387,0.5,0.5886524822695035,0.5277108433734939
0.4,0,3,100000,100000,99,69,374,369,0.5,0.5760869565217391,0.5100502512562815
0.4,0,4,100000,100000,116,171,349,354,0.5,0.48125,0.5012658227848101
0.4,0,5,100000,100000,193,109,376,367,0.5,0.47019867549668876,0.5073891625615764
0.4,0,6,100000,100000,131,155,375,354,0.5,0.5443037974683544,0.5087719298245614
0.4,0,7,100000,100000,181,272,387,384,0.5,0.5863636363636363,0.5169082125603864
0.4,0,8,100000,100000,397,133,352,359,0.5,0.4941860465116279,0.532133676092545
0.4,0,9,100000,100000,137,222,340,343,0.5,0.42328042328042326,0.4731457800511509
0.4,0,10,100000,100000,223,284,369,382,0.5,0.501628664495114,0.5279805352798054
0.4,0,11,100000,100000,191,80,365,363,0.5,0.5445544554455446,0.5075
0.4,0,12,100000,100000,149,189,371,365,0.5,0.5294117647058824,0.5087281795511222
0.4,0,13,100000,100000,70,79,382,374,0.5,0.4444444444444444,0.5121359223300971
0.4,0,14,100000,100000,260,175,391,388,0.5,0.5219298245614035,0.5186046511627908
0.4,0,15,100000,100000,21,99,359,377,0.5,0.5,0.48148148148148145
0.4,0,16,100000,100000,87,151,392,402,0.5,0.5798319327731093,0.5277777777777778
0.4,0,17,100000,100000,64,130,367,360,0.5,0.4065934065934066,0.4621026894865526
0.4,0,18,100000,100000,40,194,372,378,0.5,0.5384615384615384,0.4975609756097561
0.4,0,19,100000,100000,161,355,379,383,0.5,0.5114155251141552,0.5193236714975845
0.4,0,20,100000,100000,168,198,384,384,0.5,0.5,0.5046728971962616
0.4,0,21,100000,100000,95,250,392,379,0.5,0.5666666666666667,0.5406698564593302
0.4,0,22,100000,100000,67,295,379,374,0.5,0.5402298850574713,0.5012285012285013
0.4,0,23,100000,100000,62,196,353,356,0.5,0.3953488372093023,0.4913151364764268
0.4,0,24,100000,100000,437,22,375,360,0.5,0.6,0.5
0.4,0,25,100000,100000,121,345,375,380,0.5,0.49404761904761907,0.5084745762711864
0.4,0,26,100000,100000,49,76,368,363,0.5,0.6428571428571429,0.539440203562341
0.4,0,27,100000,100000,205,100,370,368,0.5,0.47761194029850745,0.4609756097560976
0.4,0,28,100000,100000,141,116,389,373,0.5,0.49700598802395207,0.5107913669064749
0.4,0,29,100000,100000,439,368,382,382,0.5,0.4909090909090909,0.4785714285714286
0.4,0,30,100000,100000,108,158,362,362,0.5,0.5,0.5025252525252525
0.4,0,31,100000,100000,115,123,361,358,0.5,0.5472972972972973,0.4889975550122249
0.4,0,32,100000,100000,180,256,354,351,0.5,0.46311475409836067,0.4708860759493671
0.4,0,33,100000,100000,115,127,392,380,0.5,0.5352112676056338,0.5430622009569378
0.4,0,34,100000,100000,135,89,362,363,0.5,0.44537815126050423,0.47174447174447176
0.4,0,35,100000,100000,138,404,382,365,0.5,0.44919786096256686,0.5024509803921569
0.4,0,36,100000,100000,217,183,374,374,0.5,0.5311203319502075,0.51338199513382
0.4,0,37,100000,100000,25,192,367,369,0.5,0.53125,0.5
0.4,0,38,100000,100000,312,137,386,385,0.5,0.5465116279069767,0.5
0.4,0,39,100000,100000,177,147,367,378,0.5,0.5263157894736842,0.48129675810473815
0.4,0,40,100000,100000,158,318,362,365,0.5,0.46511627906976744,0.5075
0.4,0,41,100000,100000,278,120,371,376,0.5,0.453416149068323,0.4669926650366748
0.4,0,42,100000,100000,297,50,375,367,0.5,0.609375,0.49257425742574257
0.4,0,43,100000,100000,196,170,350,366,0.5,0.4533333333333333,0.49746192893401014
0.4,0,44,100000,100000,98,252,389,385,0.5,0.532258064516129,0.5107398568019093
0.4,0,45,100000,100000,186,183,370,348,0.5,0.459915611814346,0.47560975609756095
0.4,0,46,100000,100000,33,120,395,372,0.5,0.4186046511627907,0.5404761904761904
0.4,0,47,100000,100000,145,222,361,373,0.5,0.48484848484848486,0.45365853658536587
0.4,0,48,100000,100000,71,214,346,362,0.5,0.5096153846153846,0.4595300261096606
0.4,0,49,100000,100000,255,137,393,399,0.5,0.5344827586206896,0.5103926096997691
0.4,0,50,100000,100000,406,211,376,373,0.5,0.4755244755244755,0.4891566265060241
0.4,0,51,100000,100000,227,273,381,363,0.5,0.5052631578947369,0.5304136253041363
0.4,0,52,100000,100000,250,172,378,379,0.5,0.5246636771300448,0.49754901960784315
0.4,0,53,100000,100000,453,165,391,377,0.5,0.5152838427947598,0.5447941888619855
0.4,0,54,100000,100000,114,180,337,339,0.5,0.45454545454545453,0.48812664907651715
0.4,0,55,100000,100000,295,157,357,345,0.5,0.46846846846846846,0.5024390243902439
0.4,0,56,100000,100000,82,90,370,360,0.5,0.43636363636363634,0.485
0.4,0,57,100000,100000,83,196,354,369,0.5,0.43902439024390244,0.48009950248756217
0.4,0,58,100000,100000,302,115,379,377,0.5,0.5098039215686274,0.4782608695652174
0.4,0,59,100000,100000,517,59,361,377,0.5,0.5074626865671642,0.4641975308641975
0.4,0,60,100000,100000,63,261,367,373,0.5,0.46511627906976744,0.48641975308641977
0.4,0,61,100000,100000,61,398,353,348,0.5,0.475,0.49868766404199477
0.4,0,62,100000,100000,190,74,372,382,0.5,0.5903614457831325,0.49411764705882355
0.4,0,63,100000,100000,142,93,385,382,0.5,0.52,0.48325358851674644
0.4,0,64,100000,100000,251,78,373,376,0.5,0.44761904761904764,0.4572127139364303
0.4,0,65,100000,100000,35,188,371,367,0.5,0.5227272727272727,0.48635235732009924
0.4,0,66,100000,100000,296,221,369,365,0.5,0.511864406779661,0.5239294710327456
0.4,0,67,100000,100000,63,243,368,372,0.5,0.4805194805194805,0.4821852731591449
0.4,0,68,100000,100000,279,126,385,381,0.5,0.5120481927710844,0.5144230769230769
0.4,0,69,100000,100000,185,199,370,357,0.5,0.46530612244897956,0.47129186602870815
0.4,0,70,100000,100000,247,134,355,370,0.5,0.45348837209302323,0.48370927318295737
0.4,0,71,100000,100000,125,92,364,367,0.5,0.48360655737704916,0.5164556962025316
0.4,0,72,100000,100000,45,52,350,355,0.5,0.5423728813559322,0.5329815303430079
0.4,0,73,100000,100000,124,90,353,357,0.5,0.4956521739130435,0.48655256723716384
0.4,0,74,100000,100000,100,118,374,351,0.5,0.488,0.48484848484848486
0.4,0,75,100000,100000,119,302,352,365,0.5,0.48214285714285715,0.5
0.4,0,76,100000,100000,208,201,355,361,0.5,0.4868913857677903,0.44274809160305345
0.4,0,77,100000,100000,74,245,372,369,0.5,0.5652173913043478,0.4852941176470588
0.4,0,78,100000,100000,94,217,390,390,0.5,0.5118110236220472,0.4976303317535545
