parameter_k,pair_id,permute_id,seed,A_size,B_size,as_sketch_size_A,as_sketch_size_B,mgh_sketch_size_A,mgh_sketch_size_B,true_jaccard,jaccard_as,jaccard_mgh
70,0,0,42,100000,100000,583,582,800,802,0.5,0.4915693904020752,0.4844124700239808
70,0,1,42,100000,100000,582,590,800,802,0.5,0.4935897435897436,0.4844124700239808
70,0,2,42,100000,100000,564,600,800,802,0.5,0.4915254237288136,0.4844124700239808
70,0,3,42,100000,100000,560,564,800,802,0.5,0.4932795698924731,0.4844124700239808
70,0,4,42,100000,100000,535,556,800,802,0.5,0.49105914718019256,0.4844124700239808
70,0,5,42,100000,100000,570,575,800,802,0.5,0.4914361001317523,0.4844124700239808
70,0,6,42,100000,100000,581,584,800,802,0.5,0.49159120310478654,0.4844124700239808
70,0,7,42,100000,100000,566,597,800,802,0.5,0.4921875,0.4844124700239808
70,0,8,42,100000,100000,590,560,800,802,0.5,0.49320652173913043,0.4844124700239808
70,0,9,42,100000,100000,606,573,800,802,0.5,0.4900924702774108,0.4844124700239808
70,0,10,42,100000,100000,580,580,800,802,0.5,0.4915254237288136,0.4844124700239808
70,0,11,42,100000,100000,588,600,800,802,0.5,0.48930817610062893,0.4844124700239808
70,0,12,42,100000,100000,598,567,800,802,0.5,0.49265687583444595,0.4844124700239808
70,0,13,42,100000,100000,602,571,800,802,0.5,0.49267643142476697,0.4844124700239808
70,0,14,42,100000,100000,559,581,800,802,0.5,0.492772667542707,0.4844124700239808
70,0,15,42,100000,100000,562,550,800,802,0.5,0.49175824175824173,0.4844124700239808
70,0,16,42,100000,100000,591,586,800,802,0.5,0.49226804123711343,0.4844124700239808
70,0,17,42,100000,100000,562,607,800,802,0.5,0.4927916120576671,0.4844124700239808
70,0,18,42,100000,100000,608,571,800,802,0.5,0.49267643142476697,0.4844124700239808
70,0,19,42,100000,100000,586,563,800,802,0.5,0.49259757738896365,0.4844124700239808
70,0,20,42,100000,100000,590,604,800,802,0.5,0.490613266583229,0.4844124700239808
70,0,21,42,100000,100000,592,566,800,802,0.5,0.49395973154362416,0.4844124700239808
70,0,22,42,100000,100000,563,503,800,802,0.5,0.484304932735426,0.4844124700239808
70,0,23,42,100000,100000,597,590,800,802,0.5,0.4935897435897436,0.4844124700239808
70,0,24,42,100000,100000,577,573,800,802,0.5,0.4900924702774108,0.4844124700239808
70,0,25,42,100000,100000,593,553,800,802,0.5,0.49175824175824173,0.4844124700239808
70,0,26,42,100000,100000,525,548,800,802,0.5,0.4901685393258427,0.4844124700239808
70,0,27,42,100000,100000,612,596,800,802,0.5,0.49238578680203043,0.4844124700239808
70,0,28,42,100000,100000,614,599,800,802,0.5,0.49238578680203043,0.4844124700239808
70,0,29,42,100000,100000,569,554,800,802,0.5,0.49043715846994534,0.4844124700239808
70,0,30,42,100000,100000,588,559,800,802,0.5,0.49320652173913043,0.4844124700239808
70,0,31,42,100000,100000,555,567,800,802,0.5,0.49265687583444595,0.4844124700239808
70,0,32,42,100000,100000,566,609,800,802,0.5,0.4921875,0.4844124700239808
70,0,33,42,100000,100000,575,546,800,802,0.5,0.4903314917127072,0.4844124700239808
70,0,34,42,100000,100000,598,588,800,802,0.5,0.4929214929214929,0.4844124700239808
70,0,35,42,100000,100000,583,584,800,802,0.5,0.49159120310478654,0.4844124700239808
70,0,36,42,100000,100000,586,595,800,802,0.5,0.49238578680203043,0.4844124700239808
70,0,37,42,100000,100000,582,567,800,802,0.5,0.49265687583444595,0.4844124700239808
70,0,38,42,100000,100000,590,584,800,802,0.5,0.49159120310478654,0.4844124700239808
70,0,39,42,100000,100000,566,583,800,802,0.5,0.4921875,0.4844124700239808
70,0,40,42,100000,100000,544,577,800,802,0.5,0.4918918918918919,0.4844124700239808
70,0,41,42,100000,100000,565,576,800,802,0.5,0.4921052631578947,0.4844124700239808
70,0,42,42,100000,100000,586,594,800,802,0.5,0.4948849104859335,0.4844124700239808
70,0,43,42,100000,100000,544,554,800,802,0.5,0.49043715846994534,0.4844124700239808
70,0,44,42,100000,100000,573,592,800,802,0.5,0.4929214929214929,0.4844124700239808
70,0,45,42,100000,100000,583,597,800,802,0.5,0.49238578680203043,0.4844124700239808
70,0,46,42,100000,100000,588,612,800,802,0.5,0.490613266583229,0.4844124700239808
