parameter_k,pair_id,seed,A_size,B_size,as_sketch_size_A,as_sketch_size_B,mgh_sketch_size_A,mgh_sketch_size_B,true_jaccard,jaccard_as,jaccard_mgh
70,0,0,100000,100000,581,600,798,798,0.5,0.4961832061068702,0.5332527206771464
70,0,1,100000,100000,573,585,824,816,0.5,0.505249343832021,0.5023584905660378
70,0,2,100000,100000,583,563,789,808,0.5,0.49377593360995853,0.5198079231692677
70,0,3,100000,100000,609,530,802,808,0.5,0.5043103448275862,0.5240963855421686
70,0,4,100000,100000,575,622,784,789,0.5,0.4962025316455696,0.45588235294117646
70,0,5,100000,100000,588,561,795,800,0.5,0.493368700265252,0.4975845410628019
70,0,6,100000,100000,633,613,802,788,0.5,0.48390941597139453,0.5012048192771085
70,0,7,100000,100000,570,602,789,792,0.5,0.48289473684210527,0.5121359223300971
70,0,8,100000,100000,569,613,793,792,0.5,0.49014454664914586,0.5036496350364964
70,0,9,100000,100000,572,573,793,790,0.5,0.4939919893190921,0.48602673147023084
70,0,10,100000,100000,591,587,805,804,0.5,0.5124183006535947,0.5319662243667069
70,0,11,100000,100000,569,589,797,794,0.5,0.5172413793103449,0.48736462093862815
70,0,12,100000,100000,549,600,790,798,0.5,0.5048543689320388,0.5096852300242131
70,0,13,100000,100000,595,585,789,792,0.5,0.5070967741935484,0.525030525030525
70,0,14,100000,100000,561,593,807,812,0.5,0.5020242914979757,0.4857482185273159
70,0,15,100000,100000,566,542,790,782,0.5,0.4782608695652174,0.49019607843137253
70,0,16,100000,100000,598,601,792,798,0.5,0.5113636363636364,0.4629404617253949
70,0,17,100000,100000,584,586,784,784,0.5,0.5058365758754864,0.508641975308642
70,0,18,100000,100000,558,581,790,796,0.5,0.5120320855614974,0.49387254901960786
70,0,19,100000,100000,598,534,789,783,0.5,0.5106082036775106,0.519559902200489
70,0,20,100000,100000,581,562,804,803,0.5,0.4986449864498645,0.5089392133492253
70,0,21,100000,100000,573,565,796,797,0.5,0.5332428765264586,0.5145278450363197
70,0,22,100000,100000,549,580,793,787,0.5,0.4943661971830986,0.4842233009708738
70,0,23,100000,100000,569,608,796,789,0.5,0.488,0.5006105006105006
70,0,24,100000,100000,590,564,800,796,0.5,0.512751677852349,0.4752714113389626
70,0,25,100000,100000,583,548,798,814,0.5,0.502770083102493,0.5084745762711864
