metric	FMH_scale_factor	step	|A|	|B|	mean_sample_size_A	mean_sample_size_B	true_sim	mean_est	mse
cosine	0.001	0	1000	1000	1.005000	0.995000	0.200000	0.659789	4.083761e-01
cosine	0.001	1	2000	2000	2.155000	2.050000	0.200000	0.386262	1.908773e-01
cosine	0.001	2	4000	4000	3.955000	4.050000	0.200000	0.201131	5.572742e-02
cosine	0.001	3	8000	8000	7.820000	7.465000	0.200000	0.179217	1.986965e-02
cosine	0.001	4	16000	16000	15.830000	15.500000	0.200000	0.194321	9.475899e-03
cosine	0.001	5	32000	32000	31.110000	32.390000	0.200000	0.193156	3.822676e-03
cosine	0.001	6	64000	64000	65.380000	64.070000	0.200000	0.204712	2.488475e-03
cosine	0.001	7	128000	128000	128.660000	127.915000	0.200000	0.197079	9.920723e-04
cosine	0.001	8	256000	256000	255.945000	257.560000	0.200000	0.198748	5.258552e-04
cosine	0.001	9	512000	512000	512.355000	510.550000	0.200000	0.199787	3.118439e-04
