metric	k	step	|A|	|B|	mean_sample_size_A	mean_sample_size_B	true_sim	mean_est	mse
cosine	100	0	1000	1000	425.213000	425.221000	0.200000	0.200859	3.562277e-04
cosine	100	1	2000	2000	524.744000	525.044000	0.200000	0.201073	3.681873e-04
cosine	100	2	4000	4000	624.649000	624.834000	0.200000	0.200320	2.967076e-04
cosine	100	3	8000	8000	725.173000	725.151000	0.200000	0.200713	3.092949e-04
cosine	100	4	16000	16000	824.798000	824.806000	0.200000	0.201208	2.877278e-04
cosine	100	5	32000	32000	925.651000	925.503000	0.200000	0.200741	2.496297e-04
cosine	100	6	64000	64000	1025.259000	1025.111000	0.200000	0.200260	2.184672e-04
cosine	100	7	128000	128000	1125.732000	1125.564000	0.200000	0.201013	1.901648e-04
cosine	100	8	256000	256000	1225.073000	1224.786000	0.200000	0.199672	1.980851e-04
cosine	100	9	512000	512000	1325.288000	1324.981000	0.200000	0.200435	1.903223e-04
