metric	aMGS_alpha	step	|A|	|B|	mean_sample_size_A	mean_sample_size_B	true_sim	mean_est	mse
cosine	0.4	0	1000	1000	56.775000	56.755000	0.300000	0.302052	5.125244e-03
cosine	0.4	1	2000	2000	74.060000	74.050000	0.300000	0.307143	3.320954e-03
cosine	0.4	2	4000	4000	100.070000	99.745000	0.300000	0.303339	2.502292e-03
cosine	0.4	3	8000	8000	131.510000	131.410000	0.300000	0.302901	1.943810e-03
cosine	0.4	4	16000	16000	172.335000	172.255000	0.300000	0.303915	1.584302e-03
cosine	0.4	5	32000	32000	232.695000	233.020000	0.300000	0.300916	1.103797e-03
cosine	0.4	6	64000	64000	300.890000	300.060000	0.300000	0.303094	9.303889e-04
cosine	0.4	7	128000	128000	400.895000	402.395000	0.300000	0.302545	5.907166e-04
cosine	0.4	8	256000	256000	526.660000	525.395000	0.300000	0.300656	4.590056e-04
cosine	0.4	9	512000	512000	688.605000	687.735000	0.300000	0.301759	3.683195e-04
