metric	FMH_scale_factor	step	|A|	|B|	mean_sample_size_A	mean_sample_size_B	true_sim	mean_est	mse
jaccard	0.001	0	1000	1000	0.995000	1.005000	0.199760	0.330417	1.939029e-01
jaccard	0.001	1	2000	2000	1.775000	2.025000	0.200120	0.246958	8.378195e-02
jaccard	0.001	2	4000	4000	3.890000	3.935000	0.199940	0.198184	3.417506e-02
jaccard	0.001	3	8000	8000	7.835000	8.260000	0.200030	0.191193	1.274956e-02
jaccard	0.001	4	16000	16000	15.390000	15.585000	0.199985	0.194367	6.337929e-03
jaccard	0.001	5	32000	32000	31.185000	31.835000	0.200008	0.201499	2.937428e-03
jaccard	0.001	6	64000	64000	64.795000	65.085000	0.199996	0.204993	1.743436e-03
jaccard	0.001	7	128000	128000	127.160000	128.285000	0.200002	0.200985	5.776797e-04
jaccard	0.001	8	256000	256000	254.515000	254.485000	0.199999	0.198680	3.507929e-04
jaccard	0.001	9	512000	512000	510.765000	513.645000	0.200000	0.199844	2.206950e-04
