metric	k	step	|A|	|B|	mean_sample_size_A	mean_sample_size_B	true_sim	mean_est	mse
jaccard	100	0	1000	1000	425.434000	424.910000	0.199760	0.200725	2.001510e-04
jaccard	100	1	2000	2000	525.182000	524.988000	0.200120	0.199668	2.166423e-04
jaccard	100	2	4000	4000	625.170000	624.902000	0.199940	0.200136	2.094091e-04
jaccard	100	3	8000	8000	724.458000	725.138000	0.200030	0.200263	2.012933e-04
jaccard	100	4	16000	16000	825.668000	825.712000	0.199985	0.200930	1.870433e-04
jaccard	100	5	32000	32000	925.424000	925.474000	0.200008	0.200307	1.662956e-04
jaccard	100	6	64000	64000	1025.500000	1025.920000	0.199996	0.200075	1.342873e-04
jaccard	100	7	128000	128000	1125.586000	1124.862000	0.200002	0.200634	1.234796e-04
jaccard	100	8	256000	256000	1224.790000	1225.024000	0.199999	0.199686	1.148963e-04
jaccard	100	9	512000	512000	1325.500000	1324.744000	0.200000	0.200257	1.264916e-04
