metric	MinHash_k	step	|A|	|B|	mean_sample_size_A	mean_sample_size_B	true_sim	mean_est	mse
jaccard	500	0	1000	1000	500.000000	500.000000	0.199760	0.198380	2.991201e-04
jaccard	500	1	2000	2000	500.000000	500.000000	0.200120	0.202270	2.977695e-04
jaccard	500	2	4000	4000	500.000000	500.000000	0.199940	0.200270	3.350560e-04
jaccard	500	3	8000	8000	500.000000	500.000000	0.200030	0.201770	3.191547e-04
jaccard	500	4	16000	16000	500.000000	500.000000	0.199985	0.201060	3.016720e-04
jaccard	500	5	32000	32000	500.000000	500.000000	0.200008	0.197520	3.113173e-04
jaccard	500	6	64000	64000	500.000000	500.000000	0.199996	0.196970	3.998773e-04
jaccard	500	7	128000	128000	500.000000	500.000000	0.200002	0.198120	2.654071e-04
jaccard	500	8	256000	256000	500.000000	500.000000	0.199999	0.203740	3.778070e-04
jaccard	500	9	512000	512000	500.000000	500.000000	0.200000	0.200250	2.920598e-04
