metric	aMGS_alpha	step	|A|	|B|	mean_sample_size_A	mean_sample_size_B	true_sim	mean_est	mse
jaccard	0.25	0	1000	1000	29.865000	30.110000	0.399580	0.406440	7.385733e-03
jaccard	0.25	1	2000	2000	36.855000	37.330000	0.400070	0.412552	6.290979e-03
jaccard	0.25	2	4000	4000	45.210000	44.765000	0.400070	0.418442	5.354418e-03
jaccard	0.25	3	8000	8000	53.180000	53.160000	0.399948	0.400821	4.511527e-03
jaccard	0.25	4	16000	16000	64.500000	64.165000	0.400009	0.405423	3.451416e-03
jaccard	0.25	5	32000	32000	76.790000	76.445000	0.400009	0.404004	2.932891e-03
jaccard	0.25	6	64000	64000	92.535000	92.550000	0.399993	0.411033	2.631264e-03
jaccard	0.25	7	128000	128000	108.845000	109.205000	0.400001	0.404757	2.107339e-03
jaccard	0.25	8	256000	256000	129.600000	130.510000	0.400001	0.400585	1.803777e-03
jaccard	0.25	9	512000	512000	156.065000	155.320000	0.399999	0.401327	1.417116e-03
