sketch1	sketch2	jaccard_score	intersection	size1	size2	union
data/Bos_taurus.ARS-UCD1.3.dna.toplevel.alphamaxgeom.sketch	data/Canis_lupus_familiaris.ROS_Cfam_1.0.dna.toplevel.alphamaxgeom.sketch	0.00294512	0	52292	51943	0
data/Bos_taurus.ARS-UCD1.3.dna.toplevel.alphamaxgeom.sketch	data/Equus_caballus.EquCab3.0.dna.toplevel.alphamaxgeom.sketch	0.00336783	0	52292	52848	0
data/Bos_taurus.ARS-UCD1.3.dna.toplevel.alphamaxgeom.sketch	data/Felis_catus.Felis_catus_9.0.dna_rm.toplevel.alphamaxgeom.sketch	0.00285547	0	52292	39033	0
data/Bos_taurus.ARS-UCD1.3.dna.toplevel.alphamaxgeom.sketch	data/Homo_sapiens.GRCh38.dna.toplevel.alphamaxgeom.sketch	0.00230272	0	52292	54563	0
data/Bos_taurus.ARS-UCD1.3.dna.toplevel.alphamaxgeom.sketch	data/Monodelphis_domestica.ASM229v1.dna.toplevel.alphamaxgeom.sketch	0.000426991	0	52292	58213	0
data/Bos_taurus.ARS-UCD1.3.dna.toplevel.alphamaxgeom.sketch	data/Mus_musculus.GRCm39.dna_rm.toplevel.alphamaxgeom.sketch	0.000793689	0	52292	39422	0
data/Bos_taurus.ARS-UCD1.3.dna.toplevel.alphamaxgeom.sketch	data/Pan_troglodytes.Pan_tro_3.0.dna.toplevel.alphamaxgeom.sketch	0.00236594	0	52292	55195	0
data/Bos_taurus.ARS-UCD1.3.dna.toplevel.alphamaxgeom.sketch	data/Rattus_norvegicus.mRatBN7.2.dna.toplevel.alphamaxgeom.sketch	0.000835831	0	52292	52680	0
data/Bos_taurus.ARS-UCD1.3.dna.toplevel.alphamaxgeom.sketch	data/Sus_scrofa.Sscrofa11.1.dna.toplevel.alphamaxgeom.sketch	0.00495208	0	52292	52289	0
data/Canis_lupus_familiaris.ROS_Cfam_1.0.dna.toplevel.alphamaxgeom.sketch	data/Equus_caballus.EquCab3.0.dna.toplevel.alphamaxgeom.sketch	0.00492204	0	51943	52848	0
data/Canis_lupus_familiaris.ROS_Cfam_1.0.dna.toplevel.alphamaxgeom.sketch	data/Felis_catus.Felis_catus_9.0.dna_rm.toplevel.alphamaxgeom.sketch	0.00865468	0	51943	39033	0
data/Canis_lupus_familiaris.ROS_Cfam_1.0.dna.toplevel.alphamaxgeom.sketch	data/Homo_sapiens.GRCh38.dna.toplevel.alphamaxgeom.sketch	0.00310577	0	51943	54563	0
data/Canis_lupus_familiaris.ROS_Cfam_1.0.dna.toplevel.alphamaxgeom.sketch	data/Monodelphis_domestica.ASM229v1.dna.toplevel.alphamaxgeom.sketch	0.00064357	0	51943	58213	0
data/Canis_lupus_familiaris.ROS_Cfam_1.0.dna.toplevel.alphamaxgeom.sketch	data/Mus_musculus.GRCm39.dna_rm.toplevel.alphamaxgeom.sketch	0.000928687	0	51943	39422	0
data/Canis_lupus_familiaris.ROS_Cfam_1.0.dna.toplevel.alphamaxgeom.sketch	data/Pan_troglodytes.Pan_tro_3.0.dna.toplevel.alphamaxgeom.sketch	0.00303581	0	51943	55195	0
data/Canis_lupus_familiaris.ROS_Cfam_1.0.dna.toplevel.alphamaxgeom.sketch	data/Rattus_norvegicus.mRatBN7.2.dna.toplevel.alphamaxgeom.sketch	0.00123138	0	51943	52680	0
data/Canis_lupus_familiaris.ROS_Cfam_1.0.dna.toplevel.alphamaxgeom.sketch	data/Sus_scrofa.Sscrofa11.1.dna.toplevel.alphamaxgeom.sketch	0.00350038	0	51943	52289	0
data/Equus_caballus.EquCab3.0.dna.toplevel.alphamaxgeom.sketch	data/Felis_catus.Felis_catus_9.0.dna_rm.toplevel.alphamaxgeom.sketch	0.00407073	0	52848	39033	0
data/Equus_caballus.EquCab3.0.dna.toplevel.alphamaxgeom.sketch	data/Homo_sapiens.GRCh38.dna.toplevel.alphamaxgeom.sketch	0.00366668	0	52848	54563	0
data/Equus_caballus.EquCab3.0.dna.toplevel.alphamaxgeom.sketch	data/Monodelphis_domestica.ASM229v1.dna.toplevel.alphamaxgeom.sketch	0.000476872	0	52848	58213	0
data/Equus_caballus.EquCab3.0.dna.toplevel.alphamaxgeom.sketch	data/Mus_musculus.GRCm39.dna_rm.toplevel.alphamaxgeom.sketch	0.00102753	0	52848	39422	0
data/Equus_caballus.EquCab3.0.dna.toplevel.alphamaxgeom.sketch	data/Pan_troglodytes.Pan_tro_3.0.dna.toplevel.alphamaxgeom.sketch	0.00362084	0	52848	55195	0
data/Equus_caballus.EquCab3.0.dna.toplevel.alphamaxgeom.sketch	data/Rattus_norvegicus.mRatBN7.2.dna.toplevel.alphamaxgeom.sketch	0.00102944	0	52848	52680	0
data/Equus_caballus.EquCab3.0.dna.toplevel.alphamaxgeom.sketch	data/Sus_scrofa.Sscrofa11.1.dna.toplevel.alphamaxgeom.sketch	0.0038585	0	52848	52289	0
