sketch1	sketch2	jaccard_score	intersection	size1	size2	union
data/Bos_taurus.ARS-UCD1.3.dna.toplevel.fracminhash.sketch	data/Canis_lupus_familiaris.ROS_Cfam_1.0.dna.toplevel.fracminhash.sketch	0.00314293	13713	2198747	2178092	4363126
data/Bos_taurus.ARS-UCD1.3.dna.toplevel.fracminhash.sketch	data/Equus_caballus.EquCab3.0.dna.toplevel.fracminhash.sketch	0.00363361	16194	2198747	2274171	4456724
data/Bos_taurus.ARS-UCD1.3.dna.toplevel.fracminhash.sketch	data/Felis_catus.Felis_catus_9.0.dna_rm.toplevel.fracminhash.sketch	0.00306921	10494	2198747	1230870	3419123
data/Bos_taurus.ARS-UCD1.3.dna.toplevel.fracminhash.sketch	data/Homo_sapiens.GRCh38.dna.toplevel.fracminhash.sketch	0.00239127	11219	2198747	2504120	4691648
data/Bos_taurus.ARS-UCD1.3.dna.toplevel.fracminhash.sketch	data/Monodelphis_domestica.ASM229v1.dna.toplevel.fracminhash.sketch	0.000518971	2682	2198747	2971851	5167916
data/Bos_taurus.ARS-UCD1.3.dna.toplevel.fracminhash.sketch	data/Mus_musculus.GRCm39.dna_rm.toplevel.fracminhash.sketch	0.000881238	3047	2198747	1261935	3457635
data/Bos_taurus.ARS-UCD1.3.dna.toplevel.fracminhash.sketch	data/Pan_troglodytes.Pan_tro_3.0.dna.toplevel.fracminhash.sketch	0.00235684	11254	2198747	2587549	4775042
data/Bos_taurus.ARS-UCD1.3.dna.toplevel.fracminhash.sketch	data/Rattus_norvegicus.mRatBN7.2.dna.toplevel.fracminhash.sketch	0.000918948	4079	2198747	2244102	4438770
data/Bos_taurus.ARS-UCD1.3.dna.toplevel.fracminhash.sketch	data/Sus_scrofa.Sscrofa11.1.dna.toplevel.fracminhash.sketch	0.00492546	21500	2198747	2187826	4365073
data/Canis_lupus_familiaris.ROS_Cfam_1.0.dna.toplevel.fracminhash.sketch	data/Equus_caballus.EquCab3.0.dna.toplevel.fracminhash.sketch	0.00484064	21448	2178092	2274171	4430815
data/Canis_lupus_familiaris.ROS_Cfam_1.0.dna.toplevel.fracminhash.sketch	data/Felis_catus.Felis_catus_9.0.dna_rm.toplevel.fracminhash.sketch	0.00898656	30362	2178092	1230870	3378600
data/Canis_lupus_familiaris.ROS_Cfam_1.0.dna.toplevel.fracminhash.sketch	data/Homo_sapiens.GRCh38.dna.toplevel.fracminhash.sketch	0.00314578	14683	2178092	2504120	4667529
data/Canis_lupus_familiaris.ROS_Cfam_1.0.dna.toplevel.fracminhash.sketch	data/Monodelphis_domestica.ASM229v1.dna.toplevel.fracminhash.sketch	0.000669193	3444	2178092	2971851	5146499
data/Canis_lupus_familiaris.ROS_Cfam_1.0.dna.toplevel.fracminhash.sketch	data/Mus_musculus.GRCm39.dna_rm.toplevel.fracminhash.sketch	0.00100973	3470	2178092	1261935	3436557
data/Canis_lupus_familiaris.ROS_Cfam_1.0.dna.toplevel.fracminhash.sketch	data/Pan_troglodytes.Pan_tro_3.0.dna.toplevel.fracminhash.sketch	0.00312854	14863	2178092	2587549	4750778
data/Canis_lupus_familiaris.ROS_Cfam_1.0.dna.toplevel.fracminhash.sketch	data/Rattus_norvegicus.mRatBN7.2.dna.toplevel.fracminhash.sketch	0.00120765	5334	2178092	2244102	4416860
data/Canis_lupus_familiaris.ROS_Cfam_1.0.dna.toplevel.fracminhash.sketch	data/Sus_scrofa.Sscrofa11.1.dna.toplevel.fracminhash.sketch	0.00377423	16416	2178092	2187826	4349502
data/Equus_caballus.EquCab3.0.dna.toplevel.fracminhash.sketch	data/Felis_catus.Felis_catus_9.0.dna_rm.toplevel.fracminhash.sketch	0.00434226	15154	2274171	1230870	3489887
data/Equus_caballus.EquCab3.0.dna.toplevel.fracminhash.sketch	data/Homo_sapiens.GRCh38.dna.toplevel.fracminhash.sketch	0.00358521	17070	2274171	2504120	4761221
data/Equus_caballus.EquCab3.0.dna.toplevel.fracminhash.sketch	data/Monodelphis_domestica.ASM229v1.dna.toplevel.fracminhash.sketch	0.000543564	2850	2274171	2971851	5243172
data/Equus_caballus.EquCab3.0.dna.toplevel.fracminhash.sketch	data/Mus_musculus.GRCm39.dna_rm.toplevel.fracminhash.sketch	0.000998421	3527	2274171	1261935	3532579
data/Equus_caballus.EquCab3.0.dna.toplevel.fracminhash.sketch	data/Pan_troglodytes.Pan_tro_3.0.dna.toplevel.fracminhash.sketch	0.00355206	17208	2274171	2587549	4844512
data/Equus_caballus.EquCab3.0.dna.toplevel.fracminhash.sketch	data/Rattus_norvegicus.mRatBN7.2.dna.toplevel.fracminhash.sketch	0.000999166	4510	2274171	2244102	4513763
data/Equus_caballus.EquCab3.0.dna.toplevel.fracminhash.sketch	data/Sus_scrofa.Sscrofa11.1.dna.toplevel.fracminhash.sketch	0.00417808	18565	2274171	2187826	4443432
data/Felis_catus.Felis_catus_9.0.dna_rm.toplevel.fracminhash.sketch	data/Homo_sapiens.GRCh38.dna.toplevel.fracminhash.sketch	0.00272764	10160	1230870	2504120	3724830
data/Felis_catus.Felis_catus_9.0.dna_rm.toplevel.fracminhash.sketch	data/Monodelphis_domestica.ASM229v1.dna.toplevel.fracminhash.sketch	0.000470631	1977	1230870	2971851	4200744
data/Felis_catus.Felis_catus_9.0.dna_rm.toplevel.fracminhash.sketch	data/Mus_musculus.GRCm39.dna_rm.toplevel.fracminhash.sketch	0.00138067	3437	1230870	1261935	2489368
data/Felis_catus.Felis_catus_9.0.dna_rm.toplevel.fracminhash.sketch	data/Pan_troglodytes.Pan_tro_3.0.dna.toplevel.fracminhash.sketch	0.0026879	10236	1230870	2587549	3808183
data/Felis_catus.Felis_catus_9.0.dna_rm.toplevel.fracminhash.sketch	data/Rattus_norvegicus.mRatBN7.2.dna.toplevel.fracminhash.sketch	0.000956605	3321	1230870	2244102	3471651
data/Felis_catus.Felis_catus_9.0.dna_rm.toplevel.fracminhash.sketch	data/Sus_scrofa.Sscrofa11.1.dna.toplevel.fracminhash.sketch	0.00345502	11771	1230870	2187826	3406925
data/Homo_sapiens.GRCh38.dna.toplevel.fracminhash.sketch	data/Monodelphis_domestica.ASM229v1.dna.toplevel.fracminhash.sketch	0.000621829	3403	2504120	2971851	5472568
data/Homo_sapiens.GRCh38.dna.toplevel.fracminhash.sketch	data/Mus_musculus.GRCm39.dna_rm.toplevel.fracminhash.sketch	0.000996197	3748	2504120	1261935	3762307
data/Homo_sapiens.GRCh38.dna.toplevel.fracminhash.sketch	data/Pan_troglodytes.Pan_tro_3.0.dna.toplevel.fracminhash.sketch	0.483827	1660225	2504120	2587549	3431444
data/Homo_sapiens.GRCh38.dna.toplevel.fracminhash.sketch	data/Rattus_norvegicus.mRatBN7.2.dna.toplevel.fracminhash.sketch	0.00125108	5933	2504120	2244102	4742289
data/Homo_sapiens.GRCh38.dna.toplevel.fracminhash.sketch	data/Sus_scrofa.Sscrofa11.1.dna.toplevel.fracminhash.sketch	0.00284356	13304	2504120	2187826	4678642
data/Monodelphis_domestica.ASM229v1.dna.toplevel.fracminhash.sketch	data/Mus_musculus.GRCm39.dna_rm.toplevel.fracminhash.sketch	0.00027028	1144	2971851	1261935	4232642
data/Monodelphis_domestica.ASM229v1.dna.toplevel.fracminhash.sketch	data/Pan_troglodytes.Pan_tro_3.0.dna.toplevel.fracminhash.sketch	0.000617894	3433	2971851	2587549	5555967
data/Monodelphis_domestica.ASM229v1.dna.toplevel.fracminhash.sketch	data/Rattus_norvegicus.mRatBN7.2.dna.toplevel.fracminhash.sketch	0.000598715	3121	2971851	2244102	5212832
data/Monodelphis_domestica.ASM229v1.dna.toplevel.fracminhash.sketch	data/Sus_scrofa.Sscrofa11.1.dna.toplevel.fracminhash.sketch	0.000600398	3096	2971851	2187826	5156581
data/Mus_musculus.GRCm39.dna_rm.toplevel.fracminhash.sketch	data/Pan_troglodytes.Pan_tro_3.0.dna.toplevel.fracminhash.sketch	0.00098708	3796	1261935	2587549	3845688
data/Mus_musculus.GRCm39.dna_rm.toplevel.fracminhash.sketch	data/Rattus_norvegicus.mRatBN7.2.dna.toplevel.fracminhash.sketch	0.00997665	34633	1261935	2244102	3471404
data/Mus_musculus.GRCm39.dna_rm.toplevel.fracminhash.sketch	data/Sus_scrofa.Sscrofa11.1.dna.toplevel.fracminhash.sketch	0.000934851	3222	1261935	2187826	3446539
data/Pan_troglodytes.Pan_tro_3.0.dna.toplevel.fracminhash.sketch	data/Rattus_norvegicus.mRatBN7.2.dna.toplevel.fracminhash.sketch	0.00122489	5911	2587549	2244102	4825740
data/Pan_troglodytes.Pan_tro_3.0.dna.toplevel.fracminhash.sketch	data/Sus_scrofa.Sscrofa11.1.dna.toplevel.fracminhash.sketch	0.00282238	13440	2587549	2187826	4761935
data/Rattus_norvegicus.mRatBN7.2.dna.toplevel.fracminhash.sketch	data/Sus_scrofa.Sscrofa11.1.dna.toplevel.fracminhash.sketch	0.00111543	4938	2244102	2187826	4426990
