sketch1	sketch2	jaccard_score	intersection	size1	size2	union
data/Bos_taurus.ARS-UCD1.3.dna.toplevel.alphamaxgeom.sketch	data/Canis_lupus_familiaris.ROS_Cfam_1.0.dna.toplevel.alphamaxgeom.sketch	0.00296896	0	3084	2998	0
data/Bos_taurus.ARS-UCD1.3.dna.toplevel.alphamaxgeom.sketch	data/Equus_caballus.EquCab3.0.dna.toplevel.alphamaxgeom.sketch	0.00294511	0	3084	3041	0
data/Bos_taurus.ARS-UCD1.3.dna.toplevel.alphamaxgeom.sketch	data/Felis_catus.Felis_catus_9.0.dna_rm.toplevel.alphamaxgeom.sketch	0.00396938	0	3084	2641	0
data/Bos_taurus.ARS-UCD1.3.dna.toplevel.alphamaxgeom.sketch	data/Homo_sapiens.GRCh38.dna.toplevel.alphamaxgeom.sketch	0.00233888	0	3084	3216	0
data/Bos_taurus.ARS-UCD1.3.dna.toplevel.alphamaxgeom.sketch	data/Monodelphis_domestica.ASM229v1.dna.toplevel.alphamaxgeom.sketch	0.00153571	0	3084	3378	0
data/Bos_taurus.ARS-UCD1.3.dna.toplevel.alphamaxgeom.sketch	data/Mus_musculus.GRCm39.dna_rm.toplevel.alphamaxgeom.sketch	0.001706	0	3084	2601	0
data/Bos_taurus.ARS-UCD1.3.dna.toplevel.alphamaxgeom.sketch	data/Pan_troglodytes.Pan_tro_3.0.dna.toplevel.alphamaxgeom.sketch	0.00257732	0	3084	3238	0
data/Bos_taurus.ARS-UCD1.3.dna.toplevel.alphamaxgeom.sketch	data/Rattus_norvegicus.mRatBN7.2.dna.toplevel.alphamaxgeom.sketch	0.00161074	0	3084	3064	0
data/Bos_taurus.ARS-UCD1.3.dna.toplevel.alphamaxgeom.sketch	data/Sus_scrofa.Sscrofa11.1.dna.toplevel.alphamaxgeom.sketch	0.00725806	0	3084	3020	0
data/Canis_lupus_familiaris.ROS_Cfam_1.0.dna.toplevel.alphamaxgeom.sketch	data/Equus_caballus.EquCab3.0.dna.toplevel.alphamaxgeom.sketch	0.00407277	0	2998	3041	0
data/Canis_lupus_familiaris.ROS_Cfam_1.0.dna.toplevel.alphamaxgeom.sketch	data/Felis_catus.Felis_catus_9.0.dna_rm.toplevel.alphamaxgeom.sketch	0.00948548	0	2998	2641	0
data/Canis_lupus_familiaris.ROS_Cfam_1.0.dna.toplevel.alphamaxgeom.sketch	data/Homo_sapiens.GRCh38.dna.toplevel.alphamaxgeom.sketch	0.00342195	0	2998	3216	0
data/Canis_lupus_familiaris.ROS_Cfam_1.0.dna.toplevel.alphamaxgeom.sketch	data/Monodelphis_domestica.ASM229v1.dna.toplevel.alphamaxgeom.sketch	0.000517598	0	2998	3378	0
