sketch1	sketch2	jaccard_score	intersection	size1	size2	union
data/Bos_taurus.ARS-UCD1.3.dna.toplevel.maxgeom.sketch	data/Canis_lupus_familiaris.ROS_Cfam_1.0.dna.toplevel.maxgeom.sketch	0.00378947	0	2292	2281	0
data/Bos_taurus.ARS-UCD1.3.dna.toplevel.maxgeom.sketch	data/Equus_caballus.EquCab3.0.dna.toplevel.maxgeom.sketch	0.00461797	0	2292	2298	0
data/Bos_taurus.ARS-UCD1.3.dna.toplevel.maxgeom.sketch	data/Felis_catus.Felis_catus_9.0.dna_rm.toplevel.maxgeom.sketch	0.00297366	0	2292	2226	0
data/Bos_taurus.ARS-UCD1.3.dna.toplevel.maxgeom.sketch	data/Homo_sapiens.GRCh38.dna.toplevel.maxgeom.sketch	0.00251151	0	2292	2312	0
data/Bos_taurus.ARS-UCD1.3.dna.toplevel.maxgeom.sketch	data/Monodelphis_domestica.ASM229v1.dna.toplevel.maxgeom.sketch	0.00208855	0	2292	2327	0
data/Bos_taurus.ARS-UCD1.3.dna.toplevel.maxgeom.sketch	data/Mus_musculus.GRCm39.dna_rm.toplevel.maxgeom.sketch	0.00127823	0	2292	2210	0
data/Bos_taurus.ARS-UCD1.3.dna.toplevel.maxgeom.sketch	data/Pan_troglodytes.Pan_tro_3.0.dna.toplevel.maxgeom.sketch	0.00292765	0	2292	2323	0
data/Bos_taurus.ARS-UCD1.3.dna.toplevel.maxgeom.sketch	data/Rattus_norvegicus.mRatBN7.2.dna.toplevel.maxgeom.sketch	0.00126529	0	2292	2289	0
data/Bos_taurus.ARS-UCD1.3.dna.toplevel.maxgeom.sketch	data/Sus_scrofa.Sscrofa11.1.dna.toplevel.maxgeom.sketch	0.00545989	0	2292	2289	0
data/Canis_lupus_familiaris.ROS_Cfam_1.0.dna.toplevel.maxgeom.sketch	data/Equus_caballus.EquCab3.0.dna.toplevel.maxgeom.sketch	0.00675676	0	2281	2298	0
data/Canis_lupus_familiaris.ROS_Cfam_1.0.dna.toplevel.maxgeom.sketch	data/Felis_catus.Felis_catus_9.0.dna_rm.toplevel.maxgeom.sketch	0.0115188	0	2281	2226	0
data/Canis_lupus_familiaris.ROS_Cfam_1.0.dna.toplevel.maxgeom.sketch	data/Homo_sapiens.GRCh38.dna.toplevel.maxgeom.sketch	0.00336559	0	2281	2312	0
data/Canis_lupus_familiaris.ROS_Cfam_1.0.dna.toplevel.maxgeom.sketch	data/Monodelphis_domestica.ASM229v1.dna.toplevel.maxgeom.sketch	0.00209644	0	2281	2327	0
data/Canis_lupus_familiaris.ROS_Cfam_1.0.dna.toplevel.maxgeom.sketch	data/Mus_musculus.GRCm39.dna_rm.toplevel.maxgeom.sketch	0.00214316	0	2281	2210	0
data/Canis_lupus_familiaris.ROS_Cfam_1.0.dna.toplevel.maxgeom.sketch	data/Pan_troglodytes.Pan_tro_3.0.dna.toplevel.maxgeom.sketch	0.00252101	0	2281	2323	0
