sketch1	sketch2	jaccard_score	intersection	size1	size2	union
data/Bos_taurus.ARS-UCD1.3.dna.toplevel.maxgeom.sketch	data/Canis_lupus_familiaris.ROS_Cfam_1.0.dna.toplevel.maxgeom.sketch	0.00423529	0	2052	2041	0
data/Bos_taurus.ARS-UCD1.3.dna.toplevel.maxgeom.sketch	data/Equus_caballus.EquCab3.0.dna.toplevel.maxgeom.sketch	0.00515947	0	2052	2058	0
data/Bos_taurus.ARS-UCD1.3.dna.toplevel.maxgeom.sketch	data/Felis_catus.Felis_catus_9.0.dna_rm.toplevel.maxgeom.sketch	0.00285171	0	2052	1996	0
data/Bos_taurus.ARS-UCD1.3.dna.toplevel.maxgeom.sketch	data/Homo_sapiens.GRCh38.dna.toplevel.maxgeom.sketch	0.00280505	0	2052	2072	0
data/Bos_taurus.ARS-UCD1.3.dna.toplevel.maxgeom.sketch	data/Monodelphis_domestica.ASM229v1.dna.toplevel.maxgeom.sketch	0.00233209	0	2052	2077	0
data/Bos_taurus.ARS-UCD1.3.dna.toplevel.maxgeom.sketch	data/Mus_musculus.GRCm39.dna_rm.toplevel.maxgeom.sketch	0.00143062	0	2052	1980	0
data/Bos_taurus.ARS-UCD1.3.dna.toplevel.maxgeom.sketch	data/Pan_troglodytes.Pan_tro_3.0.dna.toplevel.maxgeom.sketch	0.0032695	0	2052	2076	0
data/Bos_taurus.ARS-UCD1.3.dna.toplevel.maxgeom.sketch	data/Rattus_norvegicus.mRatBN7.2.dna.toplevel.maxgeom.sketch	0.00141443	0	2052	2049	0
data/Bos_taurus.ARS-UCD1.3.dna.toplevel.maxgeom.sketch	data/Sus_scrofa.Sscrofa11.1.dna.toplevel.maxgeom.sketch	0.00610042	0	2052	2049	0
data/Canis_lupus_familiaris.ROS_Cfam_1.0.dna.toplevel.maxgeom.sketch	data/Equus_caballus.EquCab3.0.dna.toplevel.maxgeom.sketch	0.00661001	0	2041	2058	0
data/Canis_lupus_familiaris.ROS_Cfam_1.0.dna.toplevel.maxgeom.sketch	data/Felis_catus.Felis_catus_9.0.dna_rm.toplevel.maxgeom.sketch	0.0109838	0	2041	1996	0
data/Canis_lupus_familiaris.ROS_Cfam_1.0.dna.toplevel.maxgeom.sketch	data/Homo_sapiens.GRCh38.dna.toplevel.maxgeom.sketch	0.00282087	0	2041	2072	0
data/Canis_lupus_familiaris.ROS_Cfam_1.0.dna.toplevel.maxgeom.sketch	data/Monodelphis_domestica.ASM229v1.dna.toplevel.maxgeom.sketch	0.00234192	0	2041	2077	0
data/Canis_lupus_familiaris.ROS_Cfam_1.0.dna.toplevel.maxgeom.sketch	data/Mus_musculus.GRCm39.dna_rm.toplevel.maxgeom.sketch	0.00240038	0	2041	1980	0
data/Canis_lupus_familiaris.ROS_Cfam_1.0.dna.toplevel.maxgeom.sketch	data/Pan_troglodytes.Pan_tro_3.0.dna.toplevel.maxgeom.sketch	0.0028169	0	2041	2076	0
data/Canis_lupus_familiaris.ROS_Cfam_1.0.dna.toplevel.maxgeom.sketch	data/Rattus_norvegicus.mRatBN7.2.dna.toplevel.maxgeom.sketch	0.00236742	0	2041	2049	0
data/Canis_lupus_familiaris.ROS_Cfam_1.0.dna.toplevel.maxgeom.sketch	data/Sus_scrofa.Sscrofa11.1.dna.toplevel.maxgeom.sketch	0.00517647	0	2041	2049	0
data/Equus_caballus.EquCab3.0.dna.toplevel.maxgeom.sketch	data/Felis_catus.Felis_catus_9.0.dna_rm.toplevel.maxgeom.sketch	0.00428776	0	2058	1996	0
data/Equus_caballus.EquCab3.0.dna.toplevel.maxgeom.sketch	data/Homo_sapiens.GRCh38.dna.toplevel.maxgeom.sketch	0.00607761	0	2058	2072	0
data/Equus_caballus.EquCab3.0.dna.toplevel.maxgeom.sketch	data/Monodelphis_domestica.ASM229v1.dna.toplevel.maxgeom.sketch	0.00186741	0	2058	2077	0
data/Equus_caballus.EquCab3.0.dna.toplevel.maxgeom.sketch	data/Mus_musculus.GRCm39.dna_rm.toplevel.maxgeom.sketch	0.00190931	0	2058	1980	0
